,identifier,total,rate
275,p1,799,0.0003622761278621628
276,ma,794,0.00036000906823849466
277,rs,793,0.00035955565631376105
278,testcase,792,0.00035910224438902744
279,config,790,0.0003581954205395602
280,cache,785,0.0003559283609158921
281,codes,781,0.0003541147132169576
282,cols,778,0.00035275447744275676
283,sample,767,0.0003477669462706869
284,rv,761,0.0003450464747222852
285,sparse,758,0.00034368623894808436
286,attr,756,0.0003427794150986171
287,benchmark,751,0.00034051235547494896
288,delta,750,0.00034005894355021535
289,kwds,750,0.00034005894355021535
290,lines,750,0.00034005894355021535
291,unit,747,0.0003386987077760145
292,userwarning,747,0.0003386987077760145
293,ctx,739,0.00033507141237814557
294,xs,738,0.0003346180004534119
295,err_msg,738,0.0003346180004534119
296,instance,735,0.00033325776467921106
297,xx,730,0.00033099070505554295
298,grouped,729,0.00033053729313080934
299,cm,728,0.0003300838812060757
300,y_test,727,0.0003296304692813421
301,tmp,724,0.0003282702335071412
302,callable,722,0.000327363409657674
303,pa,721,0.0003269099977329404
304,indexerror,717,0.0003250963500340059
305,error,716,0.00032464293810927227
306,match,714,0.00032373611425980505
307,complex,712,0.00032282929041033777
308,keys,712,0.00032282929041033777
309,def_gen,709,0.00032146905463613693
310,group,707,0.0003205622307866697
311,expr,704,0.0003192019950124688
312,parent,703,0.0003187485830877352
313,var,703,0.0003187485830877352
314,get_array,695,0.00031512128768986625
315,step,694,0.00031466787576513264
316,bbox,694,0.00031466787576513264
317,runtimeerror,690,0.00031285422806619814
318,mi,689,0.00031240081614146453
319,renderer,688,0.0003119474042167309
320,colors,688,0.0003119474042167309
321,_api,688,0.0003119474042167309
322,forms,686,0.00031104058036726364
323,klass,686,0.00031104058036726364
324,num,683,0.0003096803445930628
325,xp,682,0.0003092269326683292
326,fmt,679,0.0003078666968941283
327,color,678,0.0003074132849693947
328,c2,677,0.0003069598730446611
329,date,673,0.00030514622534572657
330,new_state,671,0.00030423940149625935
331,sum,671,0.00030423940149625935
332,metric,670,0.00030378598957152573
333,rtol,665,0.0003015189299478576
334,constraint,659,0.0002987984583994559
335,add_newdoc,658,0.0002983450464747223
336,pos,651,0.00029517116300158694
337,new_field,650,0.00029471775107685333
338,dim,648,0.0002938109272273861
339,case,645,0.0002924506914531852
340,arrays,641,0.0002906370437542507
341,p2,639,0.0002897302199047835
342,opts,635,0.00028791657220584904
343,version,633,0.00028700974835638176
344,mock,633,0.00028700974835638176
345,flask,629,0.0002851961006574473
346,npt,626,0.0002838358648832464
347,all,626,0.0002838358648832464
348,y0,625,0.0002833824529585128
349,query,624,0.0002829290410337792
350,mat,623,0.0002824756291090456
351,poly,620,0.0002811153933348447
352,beta,618,0.00028020856948537747
353,importerror,617,0.00027975515756064386
354,fp,616,0.00027930174563591025
355,pickle,616,0.00027930174563591025
356,r1,616,0.00027930174563591025
357,tests,615,0.0002788483337111766
358,coef,613,0.00027794150986170936
359,__name__,612,0.00027748809793697575
360,ext,612,0.00027748809793697575
361,fname,612,0.00027748809793697575
362,sort,605,0.0002743142144638404
363,content,600,0.0002720471548401723
364,xm,594,0.00026932668329177057
365,ct,593,0.00026887327136703695
366,xi,592,0.00026841985944230334
367,title,592,0.00026841985944230334
368,t1,590,0.0002675130355928361
369,runtimewarning,587,0.00026615279981863523
370,mu,585,0.000265245975969168
371,join,583,0.0002643391521197007
372,kernel,583,0.0002643391521197007
373,dx,582,0.0002638857401949671
374,source,581,0.0002634323282702335
375,buf,580,0.0002629789163454999
376,doc,579,0.0002625255044207663
377,sp,578,0.00026207209249603266
378,code,573,0.00025980503287236455
379,lb,572,0.00025935162094763094
380,a2,567,0.0002570845613239628
381,tag,561,0.0002543640897755611
382,length,558,0.00025300385400136026
383,n_classes,558,0.00025300385400136026
384,im,556,0.000252097030151893
385,gc,553,0.00025073679437769215
386,skipunlessdbfeature,553,0.00025073679437769215
387,field_name,549,0.00024892314667875764
388,cond,548,0.00024846973475402403
389,rows,547,0.0002480163228292904
390,offsets,544,0.00024665608705508953
391,by,544,0.00024665608705508953
392,timezone,540,0.0002448424393561551
393,cov,537,0.00024348220358195422
394,site,536,0.00024302879165722058
395,res2,535,0.00024257537973248697
396,first,535,0.00024257537973248697
397,format,535,0.00024257537973248697
398,admin,534,0.00024212196780775335
399,xy,533,0.00024166855588301971
400,verbose,530,0.00024030832010881885
401,final,530,0.00024030832010881885
402,file,528,0.00023940149625935163
403,views,528,0.00023940149625935163
404,next,526,0.00023849467240988437
405,types,526,0.00023849467240988437
406,image_comparison,526,0.00023849467240988437
407,client,526,0.00023849467240988437
408,theta,521,0.0002362276127862163
409,constraints,520,0.00023577420086148265
410,deprecationwarning,520,0.00023577420086148265
411,mean,520,0.00023577420086148265
412,loss,516,0.00023396055316254817
413,graph,516,0.00023396055316254817
414,queryset,515,0.00023350714123781456
415,transform,515,0.00023350714123781456
416,block,512,0.0002321469054636137
417,atol,511,0.00023169349353888009
418,fs,510,0.00023124008161414645
419,sparsearray,509,0.00023078666968941283
420,periodindex,507,0.00022987984583994558
421,check,506,0.00022942643391521197
422,dates,506,0.00022942643391521197
423,na,505,0.00022897302199047836
424,random_st,504,0.00022851961006574472
425,req,500,0.00022670596236681024
426,ref,500,0.00022670596236681024
427,height,499,0.00022625255044207663
428,bytes,497,0.00022534572659260938
429,compiler,495,0.00022443890274314216
430,arange,495,0.00022443890274314216
431,number,492,0.0002230786669689413
432,scipy,492,0.0002230786669689413
433,bins,489,0.00022171843119474043
434,to_datetime,485,0.00021990478349580593
435,dtypes,483,0.0002189979596463387
436,header,483,0.0002189979596463387
437,ub,483,0.0002189979596463387
438,param_names,483,0.0002189979596463387
439,apps,481,0.00021809113579687145
440,trans,480,0.00021763772387213784
441,ii,479,0.00021718431194740423
442,box,477,0.00021627748809793698
443,child,477,0.00021627748809793698
444,vmin,476,0.00021582407617320336
445,resp,475,0.00021537066424846972
446,dataset,473,0.0002144638403990025
447,gb,473,0.0002144638403990025
448,r2,472,0.00021401042847426886
449,call_command,471,0.00021355701654953525
450,clone,471,0.00021355701654953525
451,tree,469,0.00021265019270006803
452,font,468,0.00021219678077533439
453,staticmethod,467,0.00021174336885060077
454,module,466,0.00021128995692586716
455,sol,466,0.00021128995692586716
456,vmax,465,0.00021083654500113352
457,math,465,0.00021083654500113352
458,m1,464,0.0002103831330763999
459,x_trans,459,0.0002081160734527318
460,d1,457,0.00020720924960326457
461,levels,456,0.00020675583767853093
462,samples,456,0.00020675583767853093
463,classes,455,0.00020630242575379732
464,zeros,455,0.00020630242575379732
465,window,453,0.0002053956019043301
466,diff,450,0.00020403536613012923
467,m2,448,0.00020312854228066198
468,cases,447,0.00020267513035592837
469,com,445,0.00020176830650646112
470,concat,443,0.00020086148265699387
471,cv,439,0.0001990478349580594
472,scalar,439,0.0001990478349580594
473,rhs,437,0.00019814101110859217
474,stop,437,0.00019814101110859217
475,fn,437,0.00019814101110859217
476,charfield,437,0.00019814101110859217
477,cast,436,0.00019768759918385853
478,tdi,436,0.00019768759918385853
479,__file__,435,0.00019723418725912492
480,real,434,0.0001967807753343913
481,nx,434,0.0001967807753343913
482,f1,433,0.00019632736340965766
483,map,433,0.00019632736340965766
484,all_parsers,432,0.00019587395148492405
485,ys,431,0.00019542053956019044
486,issubclass,428,0.00019406030378598958
487,cmap,427,0.00019360689186125594
488,control,426,0.00019315347993652233
489,styler,426,0.00019315347993652233
490,skipna,425,0.00019270006801178871
491,b1,425,0.00019270006801178871
492,mgr,424,0.0001922466560870551
493,gs,423,0.00019179324416232146
494,sequence,422,0.00019133983223758785
495,optimize,422,0.00019133983223758785
496,mpmath,421,0.00019088642031285424
497,categoricalindex,420,0.0001904330083881206
498,style,420,0.0001904330083881206
499,ufunc,420,0.0001904330083881206
500,json,419,0.000189979596463387
501,hashable,418,0.00018952618453865338
502,db,418,0.00018952618453865338
503,param,418,0.00018952618453865338
504,isna,417,0.00018907277261391974
505,seed,416,0.00018861936068918612
506,bytesio,415,0.0001881659487644525
507,asarray,415,0.0001881659487644525
508,idx1,413,0.00018725912491498526
509,res1,413,0.00018725912491498526
510,idx2,412,0.00018680571299025165
511,ci,411,0.00018635230106551804
512,alias,409,0.00018544547721605079
513,masked,409,0.00018544547721605079
514,result2,409,0.00018544547721605079
515,integral,409,0.00018544547721605079
516,typ,408,0.00018499206529131717
517,y_score,405,0.0001836318295171163
518,pca,404,0.00018317841759238267
519,groups,403,0.00018272500566764906
520,pc,403,0.00018272500566764906
521,generator,402,0.00018227159374291545
522,stream,401,0.0001818181818181818
523,disp,400,0.0001813647698934482
524,encoding,399,0.00018091135796871458
525,modeladmin,398,0.00018045794604398094
526,score,398,0.00018045794604398094
527,bp,398,0.00018045794604398094
528,widget,397,0.00018000453411924733
529,root,397,0.00018000453411924733
530,conn,397,0.00018000453411924733
531,datetime_series,397,0.00018000453411924733
532,token,397,0.00018000453411924733
533,literal,396,0.00017955112219451372
534,period_range,394,0.00017864429834504647
535,tool,394,0.00017864429834504647
536,unittest,394,0.00017864429834504647
537,categories,393,0.00017819088642031286
538,wx,392,0.00017773747449557924
539,using_copy_on_write,392,0.00017773747449557924
540,t0,392,0.00017773747449557924
541,rangeindex,389,0.00017637723872137838
542,original,389,0.00017637723872137838
543,subprocess,388,0.00017592382679664474
544,new,388,0.00017592382679664474
545,dat,387,0.00017547041487191113
546,frame_or_series,386,0.00017501700294717752
547,hash,386,0.00017501700294717752
548,log,386,0.00017501700294717752
549,checks,385,0.00017456359102244388
550,cs,385,0.00017456359102244388
551,subset,384,0.00017411017909771027
552,fun,384,0.00017411017909771027
553,reg,384,0.00017411017909771027
554,attrs,384,0.00017411017909771027
555,partial,383,0.00017365676717297665
556,xt,383,0.00017365676717297665
557,suppress_warnings,380,0.0001722965313987758
558,k2,379,0.00017184311947404218
559,io,379,0.00017184311947404218
560,max_iter,378,0.00017138970754930854
561,pieces,377,0.00017093629562457493
562,cbook,376,0.00017048288369984132
563,view,375,0.00017002947177510768
564,prefix,374,0.00016957605985037406
565,gamma,373,0.00016912264792564045
566,column,372,0.0001686692360009068
567,fft,372,0.0001686692360009068
568,logisticregression,372,0.0001686692360009068
569,setattr,370,0.0001677624121514396
570,storage,370,0.0001677624121514396
571,vars,369,0.00016730900022670595
572,futurewarning,368,0.00016685558830197234
573,q1,367,0.00016640217637723873
574,lower,365,0.00016549535252777147
575,union,365,0.00016549535252777147
576,prop,363,0.00016458852867830425
577,t2,361,0.000163681704828837
578,check_random_state,361,0.000163681704828837
579,arraylike,358,0.00016232146905463614
580,where,357,0.00016186805712990252
581,old_field,355,0.00016096123328043527
582,linalg,355,0.00016096123328043527
583,dy,353,0.00016005440943096805
584,httpresponse,351,0.0001591475855815008
585,alternative,350,0.00015869417365676718
586,empty,350,0.00015869417365676718
587,dr,350,0.00015869417365676718
588,string,348,0.00015778734980729993
589,jac,348,0.00015778734980729993
590,signal,346,0.00015688052595783268
591,inf,345,0.00015642711403309907
592,angle,345,0.00015642711403309907
593,scores,344,0.00015597370210836546
594,lhs,342,0.0001550668782588982
595,objs,340,0.00015416005440943095
596,body,340,0.00015416005440943095
597,kw,339,0.00015370664248469734
598,writer,339,0.00015370664248469734
599,array_function_dispatch,339,0.00015370664248469734
600,cf,339,0.00015370664248469734
601,migration,338,0.00015325323055996373
602,ndim,337,0.00015279981863523012
603,low,337,0.00015279981863523012
604,point,337,0.00015279981863523012
605,sin,336,0.00015234640671049648
606,timedeltaindex,336,0.00015234640671049648
607,status,336,0.00015234640671049648
608,mcolors,335,0.00015189299478576287
609,iter,335,0.00015189299478576287
610,datasets,335,0.00015189299478576287
611,lr,331,0.0001500793470868284
612,v1,330,0.00014962593516209475
613,itertools,328,0.00014871911131262753
614,xmin,328,0.00014871911131262753
615,factor,327,0.0001482656993878939
616,requests,327,0.0001482656993878939
617,yy,327,0.0001482656993878939
618,any_string_dtype,325,0.00014735887553842667
619,sqrt,322,0.0001459986397642258
620,ordering,322,0.0001459986397642258
621,id,321,0.0001455452278394922
622,notimplemented,320,0.00014509181591475855
623,nditer,319,0.00014463840399002494
624,d2,319,0.00014463840399002494
625,phi,318,0.00014418499206529133
626,end_datetime,318,0.00014418499206529133
627,i1,318,0.00014418499206529133
628,grid,318,0.00014418499206529133
629,leg,317,0.0001437315801405577
630,f2,317,0.0001437315801405577
631,it,316,0.00014327816821582408
632,orig,315,0.00014282475629109046
633,matrix,315,0.00014282475629109046
634,pad,315,0.00014282475629109046
635,now,314,0.00014237134436635682
636,contenttype,314,0.00014237134436635682
637,df_orig,313,0.0001419179324416232
638,csr_matrix,312,0.0001414645205168896
639,uniques,311,0.00014101110859215596
640,prob,310,0.00014055769666742235
641,formatter,310,0.00014055769666742235
642,intervalindex,309,0.00014010428474268874
643,function,309,0.00014010428474268874
644,dta,309,0.00014010428474268874
645,modelstate,309,0.00014010428474268874
646,high,308,0.00013965087281795512
647,transaction,307,0.00013919746089322149
648,city,306,0.00013874404896848787
649,mx,306,0.00013874404896848787
650,items,306,0.00013874404896848787
651,start_datetime,306,0.00013874404896848787
652,closed,305,0.00013829063704375426
653,pipeline,305,0.00013829063704375426
654,props,304,0.00013783722511902062
655,employee,304,0.00013783722511902062
656,pattern,303,0.000137383813194287
657,callback,303,0.000137383813194287
658,inspect,302,0.0001369304012695534
659,init,300,0.00013602357742008615
660,xmax,300,0.00013602357742008615
661,xdata,299,0.00013557016549535253
662,backend,299,0.00013557016549535253
663,transformer,298,0.0001351167535706189
664,train,297,0.00013466334164588528
665,origin,297,0.00013466334164588528
666,capi,296,0.00013420992972115167
667,system,296,0.00013420992972115167
668,st,295,0.00013375651779641806
669,ax3,295,0.00013375651779641806
670,second,294,0.00013330310587168442
671,env,294,0.00013330310587168442
672,lookup,294,0.00013330310587168442
673,check_array,294,0.00013330310587168442
674,seq,293,0.0001328496939469508
675,reporter,292,0.0001323962820222172
676,manager,292,0.0001323962820222172
677,tb,292,0.0001323962820222172
678,model_name,292,0.0001323962820222172
679,fd,292,0.0001323962820222172
680,check_is_fitted,291,0.00013194287009748356
681,cmd,291,0.00013194287009748356
682,functools,290,0.00013148945817274994
683,h2,289,0.00013103604624801633
684,overload,288,0.0001305826343232827
685,stroptions,288,0.0001305826343232827
686,opt,288,0.0001305826343232827
687,foo,288,0.0001305826343232827
688,record,286,0.00012967581047381547
689,inplace,286,0.00012967581047381547
690,rendered,285,0.00012922239854908183
691,translation,285,0.00012922239854908183
692,feature_names,284,0.00012876898662434822
693,html,284,0.00012876898662434822
694,part,284,0.00012876898662434822
695,cephes,284,0.00012876898662434822
696,mapping,284,0.00012876898662434822
697,precision,283,0.0001283155746996146
698,counts,282,0.00012786216277488097
699,new_index,282,0.00012786216277488097
700,pred,281,0.00012740875085014735
701,maxiter,281,0.00012740875085014735
702,how,281,0.00012740875085014735
703,mtransforms,280,0.00012695533892541374
704,_check_plot_works,280,0.00012695533892541374
705,n1,280,0.00012695533892541374
706,tokens,280,0.00012695533892541374
707,struct,279,0.00012650192700068013
708,expression,279,0.00012650192700068013
709,verts,279,0.00012650192700068013
710,categoricaldtype,278,0.0001260485150759465
711,parts,278,0.0001260485150759465
712,ls,278,0.0001260485150759465
713,exc,278,0.0001260485150759465
714,return_value,277,0.00012559510315121288
715,register,277,0.00012559510315121288
716,ydata,277,0.00012559510315121288
717,b2,276,0.00012514169122647927
718,indptr,276,0.00012514169122647927
719,table_name,276,0.00012514169122647927
720,distfn,275,0.00012468827930174563
721,reader,275,0.00012468827930174563
722,tags,275,0.00012468827930174563
723,ft,275,0.00012468827930174563
724,encoded,275,0.00012468827930174563
725,ab,274,0.00012423486737701202
726,operations,274,0.00012423486737701202
727,sigma,273,0.0001237814554522784
728,templatesyntaxerror,273,0.0001237814554522784
729,image,273,0.0001237814554522784
730,default,272,0.00012332804352754476
731,display,272,0.00012332804352754476
732,flags,272,0.00012332804352754476
733,cl,271,0.00012287463160281115
734,d_arr_0p5,271,0.00012287463160281115
735,patch,270,0.00012242121967807754
736,algos,270,0.00012242121967807754
737,fit_intercept,270,0.00012242121967807754
738,nrows,269,0.00012196780775334391
739,authors,269,0.00012196780775334391
740,rotation,269,0.00012196780775334391
741,masked_array,269,0.00012196780775334391
742,perm,268,0.00012151439582861029
743,ndframet,268,0.00012151439582861029
744,limit,267,0.00012106098390387668
745,ignore_warnings,267,0.00012106098390387668
746,mod,265,0.00012015416005440943
747,locs,265,0.00012015416005440943
748,a_eq,265,0.00012015416005440943
749,files,264,0.00011970074812967581
750,pk,264,0.00011970074812967581
751,arr2,264,0.00011970074812967581
752,bits,264,0.00011970074812967581
753,yi,264,0.00011970074812967581
754,ar,263,0.00011924733620494219
755,_parameter_constraints,263,0.00011924733620494219
756,handler,263,0.00011924733620494219
757,v2,263,0.00011924733620494219
758,datapath,262,0.00011879392428020858
759,p0,262,0.00011879392428020858
760,i2,261,0.00011834051235547495
761,a_ub,261,0.00011834051235547495
762,ex,260,0.00011788710043074132
763,imputer,260,0.00011788710043074132
764,x_csr,260,0.00011788710043074132
765,monkeypatch,260,0.00011788710043074132
766,numeric_only,259,0.00011743368850600771
767,expect,259,0.00011743368850600771
768,rank,258,0.00011698027658127409
769,grouper,258,0.00011698027658127409
770,locator,257,0.00011652686465654046
771,category,257,0.00011652686465654046
772,entry,257,0.00011652686465654046
773,ordered,257,0.00011652686465654046
774,management,256,0.00011607345273180685
775,oserror,256,0.00011607345273180685
776,box_with_array,254,0.00011516662888233961
777,mstats,254,0.00011516662888233961
778,make_classification,253,0.00011471321695760599
779,setup_path,252,0.00011425980503287236
780,rout,252,0.00011425980503287236
781,n_neighbors,252,0.00011425980503287236
782,methods,250,0.00011335298118340512
783,algorithm,250,0.00011335298118340512
784,periods,249,0.0001128995692586715
785,sig,249,0.0001128995692586715
786,bool_t,249,0.0001128995692586715
787,tick,249,0.0001128995692586715
788,normalize,249,0.0001128995692586715
789,dimensions,249,0.0001128995692586715
790,clf1,248,0.00011244615733393788
791,timedelta_range,247,0.00011199274540920426
792,choices,247,0.00011199274540920426
793,zs,247,0.00011199274540920426
794,tmpdir,247,0.00011199274540920426
795,sources,247,0.00011199274540920426
796,artist,246,0.00011153933348447065
