StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent form,years_experience_1,years_experience_2,course_level_1,Q1_timing_First Click,Q1_timing_Last Click,Q1_timing_Page Submit,Q1_timing_Click Count,Q1_different,Q1_similar,Q2_timing_First Click,Q2_timing_Last Click,Q2_timing_Page Submit,Q2_timing_Click Count,Q2_different,Q2_similar,Q3_timing_First Click,Q3_timing_Last Click,Q3_timing_Page Submit,Q3_timing_Click Count,Q3_different,Q3_similar,Q4_timing_First Click,Q4_timing_Last Click,Q4_timing_Page Submit,Q4_timing_Click Count,Q4_different,Q4_similar,Q5_timing_First Click,Q5_timing_Last Click,Q5_timing_Page Submit,Q5_timing_Click Count,Q5_different,Q5_similar,Q6_timing_First Click,Q6_timing_Last Click,Q6_timing_Page Submit,Q6_timing_Click Count,Q6_different,Q6_similar,Q7_timing_First Click,Q7_timing_Last Click,Q7_timing_Page Submit,Q7_timing_Click Count,Q7_different,Q7_similar,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q8_different,Q8_similar,Q9_timing_First Click,Q9_timing_Last Click,Q9_timing_Page Submit,Q9_timing_Click Count,Q9_different,Q9_similar,Q10_timing_First Click,Q10_timing_Last Click,Q10_timing_Page Submit,Q10_timing_Click Count,Q10_different,Q10_similar,Q11_timing_First Click,Q11_timing_Last Click,Q11_timing_Page Submit,Q11_timing_Click Count,Q11_different,Q11_similar,Q12_timing_First Click,Q12_timing_Last Click,Q12_timing_Page Submit,Q12_timing_Click Count,Q12_different,Q12_similar,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
4/23/23 19:12,4/28/23 07:05,0,137.146.122.205,10,388401,0,5/5/23 07:05,R_PCCElk53fPyQN9L,,,,,,,anonymous,EN,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/26/23 08:39,4/27/23 18:35,0,137.146.130.226,39,122133,0,5/4/23 18:35,R_1iglbZOBnJDNorN,,,,,,,anonymous,EN,1,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,75.806,112.249,112.725,2,,3,,,,,,,93.578,93.578,95.468,1,3,,,,,,,,130.041,205.865,208.704,6,2,,73.744,73.744,89.565,1,1,,,,,,,,,,,,,,3,3,0,0,0,1,0,2,0
4/23/23 09:18,4/27/23 12:53,0,137.146.122.204,24,358528,0,5/4/23 12:53,R_3MGrr9vEi26S7yN,,,,,,,anonymous,EN,1,2,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,1,1,0,0,0
4/25/23 23:22,4/26/23 15:51,0,137.146.124.165,2,59363,0,5/3/23 15:51,R_1pyrFmUQruvcXx8,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 09:47,4/26/23 14:05,0,137.146.122.15,10,447497,0,5/3/23 14:05,R_3R4OBEsLPudzd90,,,,,,,anonymous,EN,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/26/23 08:21,4/26/23 09:03,0,137.146.143.26,17,2508,0,5/3/23 09:03,R_3fvNg91WEPMK93W,,,,,,,anonymous,EN,1,4,1,3,,,,,,,,,,,,,316.718,416.386,439.349,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 18:28,4/26/23 08:00,0,137.146.130.70,17,221560,0,5/3/23 08:00,R_2c0couF7Fiz8Jsy,,,,,,,anonymous,EN,1,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/26/23 05:45,4/26/23 05:59,0,185.216.201.47,17,869,0,5/3/23 06:00,R_DMhABPhXnxOwlc5,,,,,,,anonymous,EN,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.722,843.316,849.315,2,3,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/26/23 04:08,4/26/23 04:09,0,137.146.135.36,2,48,0,5/3/23 04:09,R_3MumxW8xl2Tvddv,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/25/23 22:21,4/25/23 23:03,0,137.146.122.160,100,2569,1,4/25/23 23:03,R_2uUk9KDkBsooqoA,,,,,42.4947,-70.8499,anonymous,EN,1,5,4,3,101.282,111.923,112.574,2,4,,100.856,169.436,175.265,2,1,,75.502,75.502,77.656,1,2,,101.558,389.377,390.652,11,,2,1.369,438.373,439.156,10,2,,100.867,302.909,304.448,6,,1,49.774,50.541,51.408,2,3,,102.053,150.462,151.166,2,1,,100.364,394.404,400.075,10,,2,82.089,82.089,86.205,1,,1,100.818,153.434,157.663,2,1,,100.915,125.352,125.823,3,2,,11,7,4,3,1,3,1,1,2
4/25/23 22:15,4/25/23 22:16,0,137.146.143.37,2,23,0,5/2/23 22:16,R_1jZeOqyw9INhLIo,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 13:26,4/25/23 22:14,0,74.75.105.184,2,377306,0,5/2/23 22:14,R_0lGcJCLm9kGfTbj,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 18:23,4/25/23 22:13,0,137.146.143.32,10,186634,0,5/2/23 22:13,R_322SXmjzbbUATEp,,,,,,,anonymous,EN,1,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/24/23 00:33,4/25/23 22:12,0,104.28.39.23,61,164336,0,5/2/23 22:12,R_3lxWE0xVm02CX6x,,,,,,,anonymous,EN,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,2,,,,,,,,,,,3,,,,,,,,2,1,1,0,0,1,0,0,1
4/25/23 22:12,4/25/23 22:12,0,137.146.127.50,10,38,0,5/2/23 22:12,R_uwy97jLLg3acWtP,,,,,,,anonymous,EN,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/25/23 14:38,4/25/23 14:48,0,137.146.120.134,24,574,0,5/2/23 14:48,R_YPPzAGuGWVXf0sx,,,,,,,anonymous,EN,1,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.037,217.037,251.749,1,,2,,,,,,,,,,,,,129.746,129.746,131.79,1,2,,,,,,,,0,0,0,0,0,0,0,0,0
4/24/23 15:12,4/24/23 15:13,0,137.146.126.79,10,70,0,5/1/23 15:13,R_1C48TWVZQr35T4P,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/24/23 08:15,4/24/23 08:18,0,137.146.127.61,10,196,0,5/1/23 08:18,R_1DI3T1Nc9KBDk5G,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/24/23 04:02,4/24/23 04:02,0,66.66.230.166,2,12,0,5/1/23 04:02,R_3kLYdEsIVyZYOOO,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 20:23,4/23/23 21:24,0,137.146.124.230,100,3684,1,4/23/23 21:24,R_23ZSoOqAY54fhnw,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,3,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,4,,,,,,1,,,,,,2,,,,,2,,5,2,3,1,1,1,1,0,1
4/23/23 19:52,4/23/23 19:55,0,137.146.133.72,32,173,0,4/30/23 19:55,R_2z5SIxrhubdLDqS,,,,,,,anonymous,EN,1,0.5,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1
4/23/23 19:32,4/23/23 19:45,0,137.146.126.190,100,804,1,4/23/23 19:45,R_6KUHKsByMwKj2G5,,,,,44.5542,-69.6179,anonymous,EN,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,3,1,2,0,0,1,2,0,0
4/23/23 18:42,4/23/23 19:07,0,174.242.67.221,100,1444,1,4/23/23 19:07,R_1FM67wiwx8stTRP,,,,,42.9948,-71.458,anonymous,EN,1,3,2,2,,,,,,1,,,,,,1,,,,,,,,,,,4,,,,,,,2,,,,,,2,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,2,,4,2,2,0,1,1,1,1,0
4/23/23 18:22,4/23/23 18:42,0,137.146.123.126,100,1226,1,4/23/23 18:42,R_1P1Ns55uN84IlMj,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,1,,,,,,2,,8,6,2,3,0,1,1,2,1
4/23/23 18:32,4/23/23 18:34,0,137.146.132.3,17,118,0,4/30/23 18:34,R_2Bnip3TK9VPchKW,,,,,,,anonymous,EN,1,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0
4/23/23 18:32,4/23/23 18:34,0,137.146.132.234,17,125,0,4/30/23 18:34,R_a3QdVl8v9vmv7O1,,,,,,,anonymous,EN,1,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,1,0
4/23/23 18:23,4/23/23 18:24,0,137.146.134.185,17,83,0,4/30/23 18:24,R_2fHghSyZhoV7X6a,,,,,,,anonymous,EN,1,4,4,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0
4/23/23 18:06,4/23/23 18:08,0,172.101.55.140,24,77,0,4/30/23 18:08,R_27wfjCSYtgT245n,,,,,,,anonymous,EN,1,12,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 18:02,4/23/23 18:07,0,137.146.123.6,24,307,0,4/30/23 18:07,R_3HYPFwgPc83XWwP,,,,,,,anonymous,EN,1,3,2,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 18:05,4/23/23 18:05,0,137.146.131.16,10,39,0,4/30/23 18:05,R_1iqun3PAVpddnEf,,,,,,,anonymous,EN,1,1,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 14:30,4/23/23 14:31,0,137.146.132.254,17,56,0,4/30/23 14:31,R_21EScIS8Bj0fL1n,,,,,,,anonymous,EN,1,1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/23/23 12:51,4/23/23 13:23,0,73.253.123.84,100,1875,1,4/23/23 13:23,R_2cvLutA5QfDRgoa,,,,,42.7826,-71.1029,anonymous,EN,1,7,7,5,,,,,,4,,,,,,,,,,,,4,,,,,2,,,,,,,2,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,1,,,,,,1,,,,,,,1,10,6,4,1,1,3,1,2,2
4/23/23 12:44,4/23/23 12:45,1,,100,63,1,4/23/23 12:45,R_3kbomm9DNbFFyJW,,,,,44.5542,-69.6179,preview,EN,1,3,2,1,1.048,1.048,2.225,1,,3,2.569,2.569,4.664,1,3,,1.225,1.225,2.398,1,,2,1.75,1.75,3.802,1,,2,1.545,1.545,2.478,1,,3,5.925,5.925,7.258,1,4,,1.894,1.894,2.841,1,1,,0.872,0.872,1.649,1,,4,1.811,1.811,2.72,1,1,,1.657,1.657,2.6,1,4,,1.69,1.69,2.764,1,,1,1.183,1.183,2.2,1,,2,3,0,3,0,2,0,0,0,1
4/23/23 12:05,4/23/23 12:21,0,137.146.157.118,100,955,1,4/23/23 12:21,R_3g7685t7e87GPX1,,,,,44.5542,-69.6179,anonymous,EN,1,8,3,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,5,2,3,0,0,1,2,1,1
4/23/23 11:25,4/23/23 12:18,0,137.146.157.118,100,3145,1,4/23/23 12:18,R_2bUyxxxYhPJizxq,,,,,44.5542,-69.6179,anonymous,EN,1,2.5,1,1,,,,,,4,,,,,1,,,,,,4,,,,,,,2,,,,,,,,,,,1,,,,,,3,,,,,,,4,,,,,,3,,,,,,4,,,,,2,,,,,,,2,5,3,2,1,2,2,0,0,0
4/23/23 06:16,4/23/23 06:31,0,216.195.188.224,100,909,1,4/23/23 06:31,R_sSyMlISU8KGjDzz,,,,,43.7996,-70.1779,anonymous,EN,1,1.5,1.5,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,2,4,1,3,1,0,0,2,0,1
4/22/23 10:35,4/22/23 10:37,0,2.136.98.244,24,149,0,4/29/23 10:37,R_sXMS13MNdsQxDe9,,,,,,,anonymous,EN,1,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 18:40,4/21/23 18:43,0,174.242.70.100,100,141,1,4/21/23 18:43,R_28BeywDIVglLKYx,,,,,42.3498,-71.0765,anonymous,EN,1,0,0,5,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,,,,,,,4,3,1,2,1,0,0,1,0,1
4/21/23 16:41,4/21/23 16:43,0,137.146.120.13,10,90,0,4/28/23 16:43,R_1eyLw8stx4yY2TI,,,,,,,anonymous,EN,1,1,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 15:09,4/21/23 15:11,0,137.146.141.34,17,90,0,4/28/23 15:14,R_1Oq6sNNhQUOFs9E,,,,,,,anonymous,EN,1,3.5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 13:22,4/21/23 14:32,0,66.66.230.166,100,4181,1,4/21/23 14:32,R_svv8XD6eSsmOQVj,,,,,44.3233,-69.7687,anonymous,EN,1,40,15,5,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,2,2,0,1,1,0,1
4/21/23 09:03,4/21/23 14:30,0,137.146.135.85,100,19617,1,4/21/23 14:30,R_323Dc7EsOkuZv5O,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,4,2,2,0,1,0,0,2,1
4/21/23 14:08,4/21/23 14:12,0,137.146.139.156,17,228,0,4/28/23 14:12,R_3IQPeyvRCoA9r6t,,,,,,,anonymous,EN,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,0,0,0,0
4/21/23 13:39,4/21/23 13:40,0,137.146.135.149,46,49,0,4/28/23 13:40,R_1LO77W6639RZhw2,,,,,,,anonymous,EN,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0
4/21/23 12:11,4/21/23 12:26,0,137.146.98.225,10,895,0,4/28/23 12:49,R_Rt59bg2gAf6aDYJ,,,,,,,anonymous,EN,1,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 10:15,4/21/23 12:24,0,137.146.133.143,100,7724,1,4/21/23 12:24,R_D6PdD600aSWZoI1,,,,,42.6191,-70.8589,anonymous,EN,1,0,0,5,,,,,,2,,,,,3,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,4,,1,0,1,0,0,0,0,0,1
4/21/23 08:43,4/21/23 11:28,0,137.146.132.74,17,9945,0,4/28/23 12:03,R_2SjDoZXP7aQRPMH,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0
4/21/23 10:03,4/21/23 10:57,0,137.146.140.31,100,3258,1,4/21/23 10:57,R_1d0SqeKEZ7SjJuU,,,,,44.5542,-69.6179,anonymous,EN,1,2,2,3,,,,,4,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,6,2,4,2,0,0,2,0,2
4/21/23 10:08,4/21/23 10:35,0,137.146.133.53,100,1637,1,4/21/23 10:35,R_2EhnN1RDmpfNyAP,,,,,44.5542,-69.6179,anonymous,EN,1,1,0.5,1,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,,1,,,,,1,,,,,,2,,7,5,2,1,0,3,0,1,2
4/21/23 10:11,4/21/23 10:27,0,137.146.136.78,100,925,1,4/21/23 10:27,R_24ra8HrwTNua7hw,,,,,44.5542,-69.6179,anonymous,EN,1,0,0,5,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,4,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,4,1,3,0,1,0,1,1,1
4/21/23 10:23,4/21/23 10:24,0,137.146.132.179,10,43,0,4/28/23 10:53,R_vkxqlHzWb5RFchb,,,,,,,anonymous,EN,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 09:52,4/21/23 09:53,0,137.146.142.17,2,23,0,4/28/23 10:02,R_Om6E1stqrie3c4h,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/21/23 09:33,4/21/23 09:45,0,137.146.127.181,100,713,1,4/21/23 09:45,R_1rctUZIH1e8qIWd,,,,,44.5542,-69.6179,anonymous,EN,1,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,4,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,2,,4,3,1,0,0,2,0,1,1
